,V_r_a,V_r_a(Leaky_ReLU/ReLU),V_c1,V_c1_c2,V_m_a_Attn
Accuracy,0.6062182583921715,0.7801313018704323,0.7066765762417936,0.4496469713861018,0.6780626780626781
Precision,0.6600059783580796,0.7895949973492176,0.7190684902259142,0.4914901537189227,0.6655222777549857
Recall,0.6062182583921715,0.7801313018704323,0.7066765762417936,0.4496469713861018,0.6780626780626781
F1,0.615881557785936,0.7556806401943623,0.7113071662222149,0.4631573918259997,0.6650135532195962
Correct (%),60.621825839217145,78.01313018704323,70.66765762417936,44.964697138610184,67.80626780626781
