,EN_m_a,EN_BN,EN_BN_c1,EN_m_a_Attn
Accuracy,0.6197200545026632,0.6916883438622569,0.6754614145918494,0.7515174036913167
Precision,0.6330103302751775,0.7135375062033673,0.7000201279147221,0.7563970902804991
Recall,0.6197200545026632,0.6916883438622569,0.6754614145918494,0.7515174036913167
F1,0.6219353754966385,0.6957070537577132,0.682461663975954,0.7451301054794263
Correct (%),61.97200545026632,69.16883438622568,67.54614145918494,75.15174036913167
